Sample_ID,Date,Year,Month,Plot,Temperature_treatment,CO2_treatment,Sample_type,N_fixation,CH4_oxidation_tissue,CH4_oxidation_headspace,Water_content
P13_15N2_Rep5-2017,2017-06-01,2017,June,13,4.5,Ambient,N2,6.3,-9999,-9999,0.8858
P13_15N2_Rep3-2017,2017-06-01,2017,June,13,4.5,Ambient,N2,6.3,-9999,-9999,0.8894
P20_15N2_Rep4-2017,2017-06-01,2017,June,20,2.25,Ambient,N2,9.2,-9999,-9999,0.8892
P20_15N2_Rep3-2017,2017-06-01,2017,June,20,2.25,Ambient,N2,9.3,-9999,-9999,0.8961
P20_15N2_Rep2-2017,2017-06-01,2017,June,20,2.25,Ambient,N2,13.5,-9999,-9999,0.9033
P20_15N2_Rep1-2017,2017-06-01,2017,June,20,2.25,Ambient,N2,13.9,-9999,-9999,0.8913
P20_15N2_Rep5-2017,2017-06-01,2017,June,20,2.25,Ambient,N2,17.1,-9999,-9999,0.8915
P13-13CH4-15N2-Rep1-2019,2019-07-31,2019,July,13,4.5,Ambient,CH4-N2,12.3,37.1,-9999,0.9348
P13-13CH4-15N2-Rep2-2019,2019-07-31,2019,July,13,4.5,Ambient,CH4-N2,3.29,37.4,-9999,0.9167
P13-13CH4-15N2-Rep3-2019,2019-07-31,2019,July,13,4.5,Ambient,CH4-N2,22.2,40.1,-9999,0.9306
P13-15N2-Rep1-2019,2019-07-31,2019,July,13,4.5,Ambient,N2,7.78,-9999,-9999,0.9041
P13-15N2-Rep2-2019,2019-07-31,2019,July,13,4.5,Ambient,N2,7.71,-9999,-9999,0.9054
P13-15N2-Rep3-2019,2019-07-31,2019,July,13,4.5,Ambient,N2,4.62,-9999,-9999,0.898
P17-13CH4-15N2-Rep1-2019,2019-07-31,2019,July,17,9,Ambient,CH4-N2,0.18,54.8,-9999,0.9239
P17-13CH4-15N2-Rep2-2019,2019-07-31,2019,July,17,9,Ambient,CH4-N2,0,43,-9999,0.9344
P17-13CH4-15N2-Rep3-2019,2019-07-31,2019,July,17,9,Ambient,CH4-N2,-0.05,37.8,-9999,0.9421
P17-15N2-Rep1-2019,2019-07-31,2019,July,17,9,Ambient,N2,0.17,-9999,-9999,0.9155
P17-15N2-Rep2-2019,2019-07-31,2019,July,17,9,Ambient,N2,0.09,-9999,-9999,0.898
P17-15N2-Rep3-2019,2019-07-31,2019,July,17,9,Ambient,N2,0.55,-9999,-9999,0.8889
P21-13CH4-15N2-Rep1-2019,2019-07-31,2019,July,21,-2,Ambient,CH4-N2,22.4,3.9,-9999,0.9291
P21-13CH4-15N2-Rep2-2019,2019-07-31,2019,July,21,-2,Ambient,CH4-N2,42.3,13.7,-9999,0.9098
P21-13CH4-15N2-Rep3-2019,2019-07-31,2019,July,21,-2,Ambient,CH4-N2,33.9,22.8,-9999,0.9167
P21-15N2-Rep1-2019,2019-07-31,2019,July,21,-2,Ambient,N2,11.3,-9999,-9999,0.898
P21-15N2-Rep2-2019,2019-07-31,2019,July,21,-2,Ambient,N2,44.1,-9999,-9999,0.907
P21-15N2-Rep3-2019,2019-07-31,2019,July,21,-2,Ambient,N2,14.9,-9999,-9999,0.914
P6-13CH4-15N2-Rep1-2019,2019-07-31,2019,July,6,0,Ambient,CH4-N2,19.3,67.6,-9999,0.9219
P6-13CH4-15N2-Rep2-2019,2019-07-31,2019,July,6,0,Ambient,CH4-N2,4.12,200,-9999,0.9326
P6-13CH4-15N2-Rep3-2019,2019-07-31,2019,July,6,0,Ambient,CH4-N2,17.3,86.5,-9999,0.9519
P6-15N2-Rep1-2019,2019-07-31,2019,July,6,0,Ambient,N2,2.51,-9999,-9999,0.9245
P6-15N2-Rep2-2019,2019-07-31,2019,July,6,0,Ambient,N2,11.8,-9999,-9999,0.9205
P6-15N2-Rep3-2019,2019-07-31,2019,July,6,0,Ambient,N2,28.4,-9999,-9999,0.92
P7-13CH4-15N2-Rep1-2019,2019-07-31,2019,July,7,-2,Ambient,CH4-N2,18,137,-9999,0.9225
P7-13CH4-15N2-Rep2-2019,2019-07-31,2019,July,7,-2,Ambient,CH4-N2,16.3,34.1,-9999,0.9161
P7-13CH4-15N2-Rep3-2019,2019-07-31,2019,July,7,-2,Ambient,CH4-N2,21.6,53.8,-9999,0.8667
P7-15N2-Rep1-2019,2019-07-31,2019,July,7,-2,Ambient,N2,14.7,-9999,-9999,0.8984
P7-15N2-Rep2-2019,2019-07-31,2019,July,7,-2,Ambient,N2,12.9,-9999,-9999,0.931
P7-15N2-Rep3-2019,2019-07-31,2019,July,7,-2,Ambient,N2,14.4,-9999,-9999,0.9174
P19-13CH4-15N2-Rep1-2019,2019-07-31,2019,July,19,0,Elevated,CH4-N2,4.07,37.0,-9999,0.9244
P19-13CH4-15N2-Rep2-2019,2019-07-31,2019,July,19,0,Elevated,CH4-N2,3.04,26.6,-9999,0.9339
P19-13CH4-15N2-Rep3-2019,2019-07-31,2019,July,19,0,Elevated,CH4-N2,7.79,27.8,-9999,0.9097
P19-15N2-Rep1-2019,2019-07-31,2019,July,19,0,Elevated,,3.65,-9999,-9999,0.9281
P19-15N2-Rep2-2019,2019-07-31,2019,July,19,0,Elevated,N2,1.94,-9999,-9999,0.913
P19-15N2-Rep3-2019,2019-07-31,2019,July,19,0,Elevated,N2,3.65,-9999,-9999,0.9259
P4-13CH4-15N2-Rep1-2019,2019-07-31,2019,July,4,4.5,Elevated,CH4-N2,1.5,51.6,-9999,0.9123
P4-13CH4-15N2-Rep2-2019,2019-07-31,2019,July,4,4.5,Elevated,CH4-N2,1.92,44.0,-9999,0.8889
P4-13CH4-15N2-Rep3-2019,2019-07-31,2019,July,4,4.5,Elevated,CH4-N2,5.18,51.1,-9999,0.9412
P4-15N2-Rep1-2019,2019-07-31,2019,July,4,4.5,Elevated,N2,2,-9999,-9999,0.9189
P4-15N2-Rep2-2019,2019-07-31,2019,July,4,4.5,Elevated,N2,2.81,-9999,-9999,0.9
P4-15N2-Rep3-2019,2019-07-31,2019,July,4,4.5,Elevated,N2,2.07,-9999,-9999,0.918
P13-13CH4-15N2-Rep1-2021,2021-07-24,2021,July,13,4.5,Ambient,CH4-N2,4.0,13.5,-3.15012E-05,0.8469
P13-13CH4-15N2-Rep2-2021,2021-07-24,2021,July,13,4.5,Ambient,CH4-N2,17.4,15.1,-1.23607E-05,0.8
P13-13CH4-15N2-Rep3-2021,2021-07-24,2021,July,13,4.5,Ambient,CH4-N2,7.8,25.5,-1.15878E-05,0.7105
P13-13CH4-15N2-Rep4-2021,2021-07-24,2021,July,13,4.5,Ambient,CH4-N2,14.1,44.6,-1.55359E-05,0.9524
P13-15N2-Rep1-2021,2021-07-24,2021,July,13,4.5,Ambient,N2,3.9,-9999,-9999,0.75
P13-15N2-Rep3-2021,2021-07-24,2021,July,13,4.5,Ambient,N2,2.7,-9999,-9999,0.3529
P13-15N2-Rep4-2021,2021-07-24,2021,July,13,4.5,Ambient,N2,17.6,-9999,-9999,0.8919
P17-13CH4-15N2-Rep1-2021,2021-07-24,2021,July,17,9,Ambient,CH4-N2,7.9,84.5,-3.30712E-06,0.6471
P17-13CH4-15N2-Rep2-2021,2021-07-24,2021,July,17,9,Ambient,CH4-N2,15.4,92.9,-9.64887E-06,0.8689
P17-13CH4-15N2-Rep3-2021,2021-07-24,2021,July,17,9,Ambient,CH4-N2,7.1,101.2,-3.85392E-06,0.3333
P17-13CH4-15N2-Rep4-2021,2021-07-24,2021,July,17,9,Ambient,CH4-N2,14.5,98.5,0.000043838,0.5714
P17-15N2-Rep1-2021,2021-07-24,2021,July,17,9,Ambient,N2,13.5,-9999,-9999,0.6111
P17-15N2-Rep2-2021,2021-07-24,2021,July,17,9,Ambient,N2,10.6,-9999,-9999,0.6957
P17-15N2-Rep3-2021,2021-07-24,2021,July,17,9,Ambient,N2,24.1,-9999,-9999,0.775
P17-15N2-Rep4-2021,2021-07-24,2021,July,17,9,Ambient,N2,11.4,-9999,-9999,0.9016
P20-13CH4-15N2-Rep1-2021,2021-07-24,2021,July,20,2.25,Ambient,CH4-N2,14.0,29.8,7.92906E-06,0.9196
P20-13CH4-15N2-Rep2-2021,2021-07-24,2021,July,20,2.25,Ambient,CH4-N2,5.1,11.7,-4.41112E-06,0.9024
P20-13CH4-15N2-Rep3-2021,2021-07-24,2021,July,20,2.25,Ambient,CH4-N2,7.5,11.7,-5.62054E-06,0.9649
P20-13CH4-15N2-Rep4-2021,2021-07-24,2021,July,20,2.25,Ambient,CH4-N2,8.6,12.7,8.23267E-06,0.9329
P20-15N2-Rep1-2021,2021-07-24,2021,July,20,2.25,Ambient,N2,12.1,-9999,-9999,0.9512
P20-15N2-Rep2-2021,2021-07-24,2021,July,20,2.25,Ambient,N2,12.3,-9999,-9999,0.94
P20-15N2-Rep3-2021,2021-07-24,2021,July,20,2.25,Ambient,N2,8.1,-9999,-9999,0.9313
P20-15N2-Rep4-2021,2021-07-24,2021,July,20,2.25,Ambient,N2,13.2,-9999,-9999,0.9352
P6-13CH4-15N2-Rep1-2021,2021-07-24,2021,July,6,0,Ambient,CH4-N2,57.9,-2.0,-8.41931E-06,0.625
P6-13CH4-15N2-Rep2-2021,2021-07-24,2021,July,6,0,Ambient,CH4-N2,13.8,0.9,-2.01203E-05,0.8333
P6-13CH4-15N2-Rep3-2021,2021-07-24,2021,July,6,0,Ambient,CH4-N2,8.4,-1.1,-7.32217E-06,0.6316
P6-13CH4-15N2-Rep4-2021,2021-07-24,2021,July,6,0,Ambient,CH4-N2,9.1,8.2,-1.42178E-05,0.8764
P6-15N2-Rep1-2021,2021-07-24,2021,July,6,0,Ambient,N2,8.4,-9999,-9999,0.7857
P6-15N2-Rep2-2021,2021-07-24,2021,July,6,0,Ambient,N2,9.0,-9999,-9999,0.8333
P6-15N2-Rep3-2021,2021-07-24,2021,July,6,0,Ambient,N2,13.2,-9999,-9999,0.8657
P6-15N2-Rep4-2021,2021-07-24,2021,July,6,0,Ambient,N2,25.7,-9999,-9999,0.8737
P7-13CH4-15N2-Rep1-2021,2021-07-24,2021,July,7,-2,Ambient,CH4-N2,21.7,7.2,-0.000259127,0.9265
P7-13CH4-15N2-Rep2-2021,2021-07-24,2021,July,7,-2,Ambient,CH4-N2,65.6,15.0,-1.9363E-05,0.9211
P7-13CH4-15N2-Rep3-2021,2021-07-24,2021,July,7,-2,Ambient,CH4-N2,10.8,-0.4,-0.000139375,0.9231
P7-13CH4-15N2-Rep4-2021,2021-07-24,2021,July,7,-2,Ambient,CH4-N2,53.4,13.0,-1.72701E-06,0.8776
P7-15N2-Rep1-2021,2021-07-24,2021,July,7,-2,Ambient,N2,15.1,-9999,-9999,0.8824
P7-15N2-Rep2-2021,2021-07-24,2021,July,7,-2,Ambient,N2,24.1,-9999,-9999,0.9737
P7-15N2-Rep3-2021,2021-07-24,2021,July,7,-2,Ambient,N2,9.7,-9999,-9999,0.9184
P7-15N2-Rep4-2021,2021-07-24,2021,July,7,-2,Ambient,N2,9.7,-9999,-9999,0.9216
P8-13CH4-15N2-Rep1-2021,2021-07-24,2021,July,8,6.75,Ambient,CH4-N2,4.3,7.3,7.47189E-05,0.3333
P8-13CH4-15N2-Rep2-2021,2021-07-24,2021,July,8,6.75,Ambient,CH4-N2,5.5,-3.1,7.91961E-05,0
P8-13CH4-15N2-Rep3-2021,2021-07-24,2021,July,8,6.75,Ambient,CH4-N2,3.9,3.0,0.000188375,0.5
P8-13CH4-15N2-Rep4-2021,2021-07-24,2021,July,8,6.75,Ambient,CH4-N2,10.3,13.9,-9.38552E-05,0.7708
P8-15N2-Rep1-2021,2021-07-24,2021,July,8,6.75,Ambient,N2,5.6,-9999,-9999,0.1818
P8-15N2-Rep2-2021,2021-07-24,2021,July,8,6.75,Ambient,N2,11.3,-9999,-9999,0.4
P8-15N2-Rep4-2021,2021-07-24,2021,July,8,6.75,Ambient,N2,5.9,-9999,-9999,0.3846
P10-13CH4-15N2-Rep1-2021,2021-07-24,2021,July,10,9,Elevated,CH4-N2,5.6,11.3,0.000440676,0.4667
P10-13CH4-15N2-Rep2-2021,2021-07-24,2021,July,10,9,Elevated,CH4-N2,6.8,18.2,0.000553079,0.25
P10-13CH4-15N2-Rep3-2021,2021-07-24,2021,July,10,9,Elevated,CH4-N2,7.3,27.2,0.002591655,0.3846
P10-15N2-Rep1-2021,2021-07-24,2021,July,10,9,Elevated,N2,7.3,-9999,-9999,0
P10-15N2-Rep2-2021,2021-07-24,2021,July,10,9,Elevated,N2,14.4,-9999,-9999,0.5556
P10-15N2-Rep3-2021,2021-07-24,2021,July,10,9,Elevated,N2,12.8,-9999,-9999,0
P10-15N2-Rep4-2021,2021-07-24,2021,July,10,9,Elevated,N2,12.1,-9999,-9999,0.0909
P11-13CH4-15N2-Rep1-2021,2021-07-24,2021,July,11,2.25,Elevated,CH4-N2,9.2,48.8,1.60692E-07,0.9518
P11-13CH4-15N2-Rep3-2021,2021-07-24,2021,July,11,2.25,Elevated,CH4-N2,30.0,34.1,4.11556E-06,0.9464
P11-13CH4-15N2-Rep4-2021,2021-07-24,2021,July,11,2.25,Elevated,CH4-N2,7.4,14.9,2.67458E-06,0.9281
P11-15N2-Rep1-2021,2021-07-24,2021,July,11,2.25,Elevated,N2,17.8,-9999,-9999,0.8913
P11-15N2-Rep2-2021,2021-07-24,2021,July,11,2.25,Elevated,N2,28.8,-9999,-9999,0.9467
P11-15N2-Rep3-2021,2021-07-24,2021,July,11,2.25,Elevated,N2,24.6,-9999,-9999,0.9595
P11-15N2-Rep4-2021,2021-07-24,2021,July,11,2.25,Elevated,N2,11.5,-9999,-9999,0.9266
P16-13CH4-15N2-Rep1-2021,2021-07-24,2021,July,16,6.75,Elevated,CH4-N2,5.5,9.5,5.40053E-06,0.8953
P16-13CH4-15N2-Rep2-2021,2021-07-24,2021,July,16,6.75,Elevated,CH4-N2,8.9,26.2,0.000717731,0.1111
P16-13CH4-15N2-Rep3-2021,2021-07-24,2021,July,16,6.75,Elevated,CH4-N2,8.3,1.4,1.1491E-05,0.7576
P16-13CH4-15N2-Rep4-2021,2021-07-24,2021,July,16,6.75,Elevated,CH4-N2,8.9,17.5,-9999,0.775
P16-15N2-Rep1-2021,2021-07-24,2021,July,16,6.75,Elevated,N2,9.7,-9999,-9999,0.2857
P16-15N2-Rep2-2021,2021-07-24,2021,July,16,6.75,Elevated,N2,13.8,-9999,-9999,0.2857
P16-15N2-Rep3-2021,2021-07-24,2021,July,16,6.75,Elevated,N2,33.9,-9999,-9999,0.8545
P16-15N2-Rep4-2021,2021-07-24,2021,July,16,6.75,Elevated,N2,11.8,-9999,-9999,0.8873
P19-13CH4-15N2-Rep1-2021,2021-07-24,2021,July,19,0,Elevated,CH4-N2,36.1,-7.8,-2.70707E-05,0.9878
P19-13CH4-15N2-Rep2-2021,2021-07-24,2021,July,19,0,Elevated,CH4-N2,44.0,3.7,5.81395E-08,0.9718
P19-13CH4-15N2-Rep3-2021,2021-07-24,2021,July,19,0,Elevated,CH4-N2,33.3,0.3,1.99871E-06,0.9655
P19-13CH4-15N2-Rep4-2021,2021-07-24,2021,July,19,0,Elevated,CH4-N2,14.5,90.9,-9999,0.9512
P19-15N2-Rep1-2021,2021-07-24,2021,July,19,0,Elevated,N2,19.8,-9999,-9999,0.9231
P19-15N2-Rep2-2021,2021-07-24,2021,July,19,0,Elevated,N2,25.4,-9999,-9999,0.881
P19-15N2-Rep3-2021,2021-07-24,2021,July,19,0,Elevated,N2,8.9,-9999,-9999,0.9444
P19-15N2-Rep4-2021,2021-07-24,2021,July,19,0,Elevated,N2,15.1,-9999,-9999,0.9479
P4-13CH4-15N2-Rep1-2021,2021-07-24,2021,July,4,4.5,Elevated,CH4-N2,7.4,17.4,1.67895E-06,0.34
P4-13CH4-15N2-Rep2-2021,2021-07-24,2021,July,4,4.5,Elevated,CH4-N2,5.9,18.9,4.34761E-06,0.4538
P4-13CH4-15N2-Rep3-2021,2021-07-24,2021,July,4,4.5,Elevated,CH4-N2,5.1,7.6,0.000216163,0.15
P4-13CH4-15N2-Rep4-2021,2021-07-24,2021,July,4,4.5,Elevated,CH4-N2,6.4,13.2,2.20915E-06,0.7519
P4-15N2-Rep1-2021,2021-07-24,2021,July,4,4.5,Elevated,N2,5.8,-9999,-9999,0.772
P4-15N2-Rep2-2021,2021-07-24,2021,July,4,4.5,Elevated,N2,5.3,-9999,-9999,0.375
P4-15N2-Rep3-2021,2021-07-24,2021,July,4,4.5,Elevated,N2,7.1,-9999,-9999,0.35
P4-15N2-Rep4-2021,2021-07-24,2021,July,4,4.5,Elevated,N2,8.3,-9999,-9999,0.6226
