"Block","Position","Shade","Species","Date","Current_length","Length_growth"
1,"Hollow",2,"S. divinum",2021-06-11,105,15
1,"Hollow",3,"S. divinum",2021-06-11,124,7
1,"Hollow",4,"S. divinum",2021-06-11,120,16
2,"Hummock",0,"S. ang/fal",2021-06-11,135,-1
2,"Hummock",1,"S. ang/fal",2021-06-11,74,-7
2,"Hummock",2,"S. ang/fal",2021-06-11,131,-10
2,"Hummock",3,"S. ang/fal",2021-06-11,125,8
2,"Hummock",4,"S. ang/fal",2021-06-11,49,14
2,"Hummock",0,"S. divinum",2021-06-11,134,3
2,"Hummock",1,"S. divinum",2021-06-11,73,11
2,"Hummock",2,"S. divinum",2021-06-11,133,2
2,"Hummock",3,"S. divinum",2021-06-11,140,-5
2,"Hummock",4,"S. divinum",2021-06-11,55,-1
2,"Hollow",0,"S. ang/fal",2021-06-11,104,24
2,"Hollow",1,"S. ang/fal",2021-06-11,86,43
2,"Hollow",2,"S. ang/fal",2021-06-11,123,0
2,"Hollow",3,"S. ang/fal",2021-06-11,75,54
2,"Hollow",4,"S. ang/fal",2021-06-11,93,35
2,"Hollow",0,"S. divinum",2021-06-11,122,6
2,"Hollow",1,"S. divinum",2021-06-11,127,4
2,"Hollow",2,"S. divinum",2021-06-11,113,15
2,"Hollow",3,"S. divinum",2021-06-11,123,9
2,"Hollow",4,"S. divinum",2021-06-11,114,18
3,"Hummock",0,"S. ang/fal",2021-06-11,135,-3
3,"Hummock",1,"S. ang/fal",2021-06-11,111,23
3,"Hummock",2,"S. ang/fal",2021-06-11,126,4
3,"Hummock",3,"S. ang/fal",2021-06-11,114,21
3,"Hummock",4,"S. ang/fal",2021-06-11,116,12
3,"Hummock",0,"S. divinum",2021-06-11,123,2
3,"Hummock",1,"S. divinum",2021-06-11,102,19
3,"Hummock",2,"S. divinum",2021-06-11,130,5
3,"Hummock",3,"S. divinum",2021-06-11,128,8
3,"Hummock",4,"S. divinum",2021-06-11,115,10
3,"Hollow",0,"S. ang/fal",2021-06-11,107,21
3,"Hollow",1,"S. ang/fal",2021-06-11,110,27
3,"Hollow",2,"S. ang/fal",2021-06-11,87,40
3,"Hollow",3,"S. ang/fal",2021-06-11,93,38
3,"Hollow",4,"S. ang/fal",2021-06-11,85,45
3,"Hollow",0,"S. divinum",2021-06-11,111,19
3,"Hollow",1,"S. divinum",2021-06-11,129,5
3,"Hollow",2,"S. divinum",2021-06-11,99,24
3,"Hollow",3,"S. divinum",2021-06-11,113,17
3,"Hollow",4,"S. divinum",2021-06-11,97,30
1,"Hummock",0,"S. ang/fal",2021-06-25,125,16
1,"Hummock",1,"S. ang/fal",2021-06-25,124,6
1,"Hummock",2,"S. ang/fal",2021-06-25,97,32
1,"Hummock",3,"S. ang/fal",2021-06-25,117,8
1,"Hummock",4,"S. ang/fal",2021-06-25,112,16
1,"Hummock",0,"S. divinum",2021-06-25,146,-4
1,"Hummock",1,"S. divinum",2021-06-25,131,4
1,"Hummock",2,"S. divinum",2021-06-25,110,17
1,"Hummock",3,"S. divinum",2021-06-25,91,33
1,"Hummock",4,"S. divinum",2021-06-25,109,16
1,"Hollow",0,"S. ang/fal",2021-06-25,85,54
1,"Hollow",1,"S. ang/fal",2021-06-25,113,26
1,"Hollow",2,"S. ang/fal",2021-06-25,72,61
1,"Hollow",3,"S. ang/fal",2021-06-25,88,46
1,"Hollow",4,"S. ang/fal",2021-06-25,80,58
1,"Hollow",0,"S. divinum",2021-06-25,99,28
1,"Hollow",1,"S. divinum",2021-06-25,114,15
1,"Hollow",2,"S. divinum",2021-06-25,95,25
1,"Hollow",3,"S. divinum",2021-06-25,111,20
1,"Hollow",4,"S. divinum",2021-06-25,110,26
2,"Hummock",0,"S. ang/fal",2021-06-25,135,-1
2,"Hummock",1,"S. ang/fal",2021-06-25,77,-10
2,"Hummock",2,"S. ang/fal",2021-06-25,96,25
2,"Hummock",3,"S. ang/fal",2021-06-25,129,4
2,"Hummock",4,"S. ang/fal",2021-06-25,35,28
2,"Hummock",0,"S. divinum",2021-06-25,135,2
2,"Hummock",1,"S. divinum",2021-06-25,69,15
2,"Hummock",2,"S. divinum",2021-06-25,133,2
2,"Hummock",3,"S. divinum",2021-06-25,128,7
2,"Hummock",4,"S. divinum",2021-06-25,50,4
2,"Hollow",0,"S. ang/fal",2021-06-25,95,33
2,"Hollow",1,"S. ang/fal",2021-06-25,78,51
2,"Hollow",2,"S. ang/fal",2021-06-25,110,13
2,"Hollow",3,"S. ang/fal",2021-06-25,65,64
2,"Hollow",4,"S. ang/fal",2021-06-25,64,64
2,"Hollow",0,"S. divinum",2021-06-25,113,15
2,"Hollow",1,"S. divinum",2021-06-25,121,10
2,"Hollow",2,"S. divinum",2021-06-25,108,20
2,"Hollow",3,"S. divinum",2021-06-25,115,17
2,"Hollow",4,"S. divinum",2021-06-25,85,47
3,"Hummock",0,"S. ang/fal",2021-06-25,134,-2
3,"Hummock",1,"S. ang/fal",2021-06-25,113,21
3,"Hummock",2,"S. ang/fal",2021-06-25,125,5
3,"Hummock",3,"S. ang/fal",2021-06-25,105,30
3,"Hummock",4,"S. ang/fal",2021-06-25,113,15
3,"Hummock",0,"S. divinum",2021-06-25,123,2
3,"Hummock",1,"S. divinum",2021-06-25,101,20
3,"Hummock",2,"S. divinum",2021-06-25,115,20
3,"Hummock",3,"S. divinum",2021-06-25,109,27
3,"Hummock",4,"S. divinum",2021-06-25,109,16
3,"Hollow",0,"S. ang/fal",2021-06-25,102,26
3,"Hollow",1,"S. ang/fal",2021-06-25,112,25
3,"Hollow",2,"S. ang/fal",2021-06-25,85,42
3,"Hollow",3,"S. ang/fal",2021-06-25,92,39
3,"Hollow",4,"S. ang/fal",2021-06-25,65,65
3,"Hollow",0,"S. divinum",2021-06-25,98,32
3,"Hollow",1,"S. divinum",2021-06-25,125,9
3,"Hollow",2,"S. divinum",2021-06-25,96,27
3,"Hollow",3,"S. divinum",2021-06-25,125,5
3,"Hollow",4,"S. divinum",2021-06-25,73,54
1,"Hummock",0,"S. ang/fal",2021-07-09,124,17
1,"Hummock",1,"S. ang/fal",2021-07-09,125,5
1,"Hummock",2,"S. ang/fal",2021-07-09,84,45
1,"Hummock",3,"S. ang/fal",2021-07-09,103,22
1,"Hummock",4,"S. ang/fal",2021-07-09,108,20
1,"Hummock",0,"S. divinum",2021-07-09,144,-2
1,"Hummock",1,"S. divinum",2021-07-09,126,9
1,"Hummock",2,"S. divinum",2021-07-09,91,36
1,"Hummock",3,"S. divinum",2021-07-09,90,34
1,"Hummock",4,"S. divinum",2021-07-09,108,17
1,"Hollow",0,"S. ang/fal",2021-07-09,80,59
1,"Hollow",1,"S. ang/fal",2021-07-09,108,31
1,"Hollow",2,"S. ang/fal",2021-07-09,70,63
1,"Hollow",3,"S. ang/fal",2021-07-09,95,39
1,"Hollow",4,"S. ang/fal",2021-07-09,78,60
1,"Hollow",0,"S. divinum",2021-07-09,94,33
1,"Hollow",1,"S. divinum",2021-07-09,115,14
1,"Hollow",2,"S. divinum",2021-07-09,95,25
1,"Hollow",3,"S. divinum",2021-07-09,111,20
1,"Hollow",4,"S. divinum",2021-07-09,105,31
2,"Hummock",0,"S. ang/fal",2021-07-09,135,-1
2,"Hummock",1,"S. ang/fal",2021-07-09,79,-12
2,"Hummock",2,"S. ang/fal",2021-07-09,92,29
2,"Hummock",3,"S. ang/fal",2021-07-09,131,2
2,"Hummock",4,"S. ang/fal",2021-07-09,40,23
2,"Hummock",0,"S. divinum",2021-07-09,137,0
2,"Hummock",1,"S. divinum",2021-07-09,69,15
2,"Hummock",2,"S. divinum",2021-07-09,127,8
2,"Hummock",3,"S. divinum",2021-07-09,132,3
2,"Hummock",4,"S. divinum",2021-07-09,49,5
2,"Hollow",0,"S. ang/fal",2021-07-09,92,36
2,"Hollow",1,"S. ang/fal",2021-07-09,73,56
2,"Hollow",2,"S. ang/fal",2021-07-09,100,23
2,"Hollow",3,"S. ang/fal",2021-07-09,63,66
2,"Hollow",4,"S. ang/fal",2021-07-09,57,71
2,"Hollow",0,"S. divinum",2021-07-09,110,18
2,"Hollow",1,"S. divinum",2021-07-09,115,16
2,"Hollow",2,"S. divinum",2021-07-09,106,22
2,"Hollow",3,"S. divinum",2021-07-09,110,22
2,"Hollow",4,"S. divinum",2021-07-09,75,57
3,"Hummock",0,"S. ang/fal",2021-07-09,133,-1
3,"Hummock",1,"S. ang/fal",2021-07-09,110,24
3,"Hummock",2,"S. ang/fal",2021-07-09,128,2
3,"Hummock",3,"S. ang/fal",2021-07-09,107,28
3,"Hummock",4,"S. ang/fal",2021-07-09,114,14
3,"Hummock",0,"S. divinum",2021-07-09,125,0
3,"Hummock",1,"S. divinum",2021-07-09,97,24
3,"Hummock",2,"S. divinum",2021-07-09,113,22
3,"Hummock",3,"S. divinum",2021-07-09,113,23
3,"Hummock",4,"S. divinum",2021-07-09,106,19
3,"Hollow",0,"S. ang/fal",2021-07-09,105,23
3,"Hollow",1,"S. ang/fal",2021-07-09,107,30
3,"Hollow",2,"S. ang/fal",2021-07-09,85,42
3,"Hollow",3,"S. ang/fal",2021-07-09,95,36
3,"Hollow",4,"S. ang/fal",2021-07-09,67,63
3,"Hollow",0,"S. divinum",2021-07-09,98,32
3,"Hollow",1,"S. divinum",2021-07-09,132,2
3,"Hollow",2,"S. divinum",2021-07-09,99,24
3,"Hollow",3,"S. divinum",2021-07-09,118,12
3,"Hollow",4,"S. divinum",2021-07-09,65,62
1,"Hummock",0,"S. ang/fal",2021-07-23,121,20
1,"Hummock",1,"S. ang/fal",2021-07-23,123,7
1,"Hummock",2,"S. ang/fal",2021-07-23,76,53
1,"Hummock",3,"S. ang/fal",2021-07-23,114,11
1,"Hummock",4,"S. ang/fal",2021-07-23,108,20
1,"Hummock",0,"S. divinum",2021-07-23,144,-2
1,"Hummock",1,"S. divinum",2021-07-23,126,9
1,"Hummock",2,"S. divinum",2021-07-23,91,36
1,"Hummock",3,"S. divinum",2021-07-23,90,34
1,"Hummock",4,"S. divinum",2021-07-23,108,17
1,"Hollow",0,"S. ang/fal",2021-07-23,71,68
1,"Hollow",1,"S. ang/fal",2021-07-23,109,30
1,"Hollow",2,"S. ang/fal",2021-07-23,68,65
1,"Hollow",3,"S. ang/fal",2021-07-23,88,46
1,"Hollow",4,"S. ang/fal",2021-07-23,75,63
1,"Hollow",0,"S. divinum",2021-07-23,88,39
1,"Hollow",1,"S. divinum",2021-07-23,113,16
1,"Hollow",2,"S. divinum",2021-07-23,98,22
1,"Hollow",3,"S. divinum",2021-07-23,112,19
1,"Hollow",4,"S. divinum",2021-07-23,102,34
2,"Hummock",0,"S. ang/fal",2021-07-23,135,-1
2,"Hummock",1,"S. ang/fal",2021-07-23,80,-13
2,"Hummock",2,"S. ang/fal",2021-07-23,84,37
2,"Hummock",3,"S. ang/fal",2021-07-23,130,3
2,"Hummock",4,"S. ang/fal",2021-07-23,35,28
2,"Hummock",0,"S. divinum",2021-07-23,133,4
2,"Hummock",1,"S. divinum",2021-07-23,70,14
2,"Hummock",2,"S. divinum",2021-07-23,126,9
2,"Hummock",3,"S. divinum",2021-07-23,135,0
2,"Hummock",4,"S. divinum",2021-07-23,52,2
2,"Hollow",0,"S. ang/fal",2021-07-23,88,40
2,"Hollow",1,"S. ang/fal",2021-07-23,73,56
2,"Hollow",2,"S. ang/fal",2021-07-23,107,16
2,"Hollow",3,"S. ang/fal",2021-07-23,61,68
2,"Hollow",4,"S. ang/fal",2021-07-23,60,68
2,"Hollow",0,"S. divinum",2021-07-23,110,18
2,"Hollow",1,"S. divinum",2021-07-23,117,14
2,"Hollow",2,"S. divinum",2021-07-23,106,22
2,"Hollow",3,"S. divinum",2021-07-23,115,17
2,"Hollow",4,"S. divinum",2021-07-23,72,60
3,"Hummock",0,"S. ang/fal",2021-07-23,135,-3
3,"Hummock",1,"S. ang/fal",2021-07-23,105,29
3,"Hummock",2,"S. ang/fal",2021-07-23,117,13
3,"Hummock",3,"S. ang/fal",2021-07-23,94,41
3,"Hummock",4,"S. ang/fal",2021-07-23,102,26
3,"Hummock",0,"S. divinum",2021-07-23,124,1
3,"Hummock",1,"S. divinum",2021-07-23,94,27
3,"Hummock",2,"S. divinum",2021-07-23,109,26
3,"Hummock",3,"S. divinum",2021-07-23,110,26
3,"Hummock",4,"S. divinum",2021-07-23,102,23
3,"Hollow",0,"S. ang/fal",2021-07-23,100,28
3,"Hollow",1,"S. ang/fal",2021-07-23,110,27
3,"Hollow",2,"S. ang/fal",2021-07-23,80,47
3,"Hollow",3,"S. ang/fal",2021-07-23,95,36
3,"Hollow",4,"S. ang/fal",2021-07-23,65,65
3,"Hollow",0,"S. divinum",2021-07-23,92,38
3,"Hollow",1,"S. divinum",2021-07-23,130,4
3,"Hollow",2,"S. divinum",2021-07-23,101,22
3,"Hollow",3,"S. divinum",2021-07-23,114,16
3,"Hollow",4,"S. divinum",2021-07-23,67,60
1,"Hummock",0,"S. ang/fal",2021-09-14,110,31
1,"Hummock",1,"S. ang/fal",2021-09-14,93,37
1,"Hummock",2,"S. ang/fal",2021-09-14,53,76
1,"Hummock",3,"S. ang/fal",2021-09-14,79,46
1,"Hummock",4,"S. ang/fal",2021-09-14,75,53
1,"Hummock",0,"S. divinum",2021-09-14,145,-3
1,"Hummock",1,"S. divinum",2021-09-14,120,15
1,"Hummock",2,"S. divinum",2021-09-14,83,44
1,"Hummock",3,"S. divinum",2021-09-14,69,55
1,"Hummock",4,"S. divinum",2021-09-14,91,34
1,"Hollow",0,"S. ang/fal",2021-09-14,62,77
1,"Hollow",1,"S. ang/fal",2021-09-14,82,57
1,"Hollow",2,"S. ang/fal",2021-09-14,63,70
1,"Hollow",3,"S. ang/fal",2021-09-14,60,74
1,"Hollow",4,"S. ang/fal",2021-09-14,75,63
1,"Hollow",0,"S. divinum",2021-09-14,70,57
1,"Hollow",1,"S. divinum",2021-09-14,95,34
1,"Hollow",2,"S. divinum",2021-09-14,89,31
1,"Hollow",3,"S. divinum",2021-09-14,100,31
1,"Hollow",4,"S. divinum",2021-09-14,96,40
2,"Hummock",0,"S. ang/fal",2021-09-14,124,10
2,"Hummock",1,"S. ang/fal",2021-09-14,65,2
2,"Hummock",2,"S. ang/fal",2021-09-14,54,67
2,"Hummock",3,"S. ang/fal",2021-09-14,114,19
2,"Hummock",4,"S. ang/fal",2021-09-14,20,43
2,"Hummock",0,"S. divinum",2021-09-14,122,15
2,"Hummock",1,"S. divinum",2021-09-14,50,34
2,"Hummock",2,"S. divinum",2021-09-14,105,30
2,"Hummock",3,"S. divinum",2021-09-14,106,29
2,"Hummock",4,"S. divinum",2021-09-14,37,17
2,"Hollow",0,"S. ang/fal",2021-09-14,80,48
2,"Hollow",1,"S. ang/fal",2021-09-14,60,69
2,"Hollow",2,"S. ang/fal",2021-09-14,110,13
2,"Hollow",3,"S. ang/fal",2021-09-14,50,79
2,"Hollow",4,"S. ang/fal",2021-09-14,53,75
2,"Hollow",0,"S. divinum",2021-09-14,95,33
2,"Hollow",1,"S. divinum",2021-09-14,107,24
2,"Hollow",2,"S. divinum",2021-09-14,101,27
2,"Hollow",3,"S. divinum",2021-09-14,100,32
2,"Hollow",4,"S. divinum",2021-09-14,50,82
3,"Hummock",0,"S. ang/fal",2021-09-14,133,-1
3,"Hummock",1,"S. ang/fal",2021-09-14,100,34
3,"Hummock",2,"S. ang/fal",2021-09-14,87,43
3,"Hummock",3,"S. ang/fal",2021-09-14,77,58
3,"Hummock",4,"S. ang/fal",2021-09-14,75,53
3,"Hummock",0,"S. divinum",2021-09-14,113,12
3,"Hummock",1,"S. divinum",2021-09-14,90,31
3,"Hummock",2,"S. divinum",2021-09-14,111,24
3,"Hummock",3,"S. divinum",2021-09-14,110,26
3,"Hummock",4,"S. divinum",2021-09-14,77,48
3,"Hollow",0,"S. ang/fal",2021-09-14,100,28
3,"Hollow",1,"S. ang/fal",2021-09-14,66,71
3,"Hollow",2,"S. ang/fal",2021-09-14,93,34
3,"Hollow",3,"S. ang/fal",2021-09-14,92,39
3,"Hollow",4,"S. ang/fal",2021-09-14,56,74
3,"Hollow",0,"S. divinum",2021-09-14,90,40
3,"Hollow",1,"S. divinum",2021-09-14,118,16
3,"Hollow",2,"S. divinum",2021-09-14,95,28
3,"Hollow",3,"S. divinum",2021-09-14,110,20
3,"Hollow",4,"S. divinum",2021-09-14,63,64
1,"Hummock",0,"S. ang/fal",2021-10-15,105,36
1,"Hummock",1,"S. ang/fal",2021-10-15,95,35
1,"Hummock",2,"S. ang/fal",2021-10-15,92,37
1,"Hummock",3,"S. ang/fal",2021-10-15,70,55
1,"Hummock",4,"S. ang/fal",2021-10-15,73,55
1,"Hummock",0,"S. divinum",2021-10-15,142,0
1,"Hummock",1,"S. divinum",2021-10-15,122,13
1,"Hummock",2,"S. divinum",2021-10-15,82,45
1,"Hummock",3,"S. divinum",2021-10-15,68,56
1,"Hummock",4,"S. divinum",2021-10-15,82,43
1,"Hollow",0,"S. ang/fal",2021-10-15,80,59
1,"Hollow",1,"S. ang/fal",2021-10-15,80,59
1,"Hollow",2,"S. ang/fal",2021-10-15,52,81
1,"Hollow",3,"S. ang/fal",2021-10-15,68,66
1,"Hollow",4,"S. ang/fal",2021-10-15,76,62
1,"Hollow",0,"S. divinum",2021-10-15,46,81
1,"Hollow",1,"S. divinum",2021-10-15,110,19
1,"Hollow",2,"S. divinum",2021-10-15,49,71
1,"Hollow",3,"S. divinum",2021-10-15,115,16
1,"Hollow",4,"S. divinum",2021-10-15,92,44
2,"Hummock",0,"S. ang/fal",2021-10-15,115,19
2,"Hummock",1,"S. ang/fal",2021-10-15,61,6
2,"Hummock",2,"S. ang/fal",2021-10-15,45,76
2,"Hummock",3,"S. ang/fal",2021-10-15,108,25
2,"Hummock",4,"S. ang/fal",2021-10-15,20,43
2,"Hummock",0,"S. divinum",2021-10-15,123,14
2,"Hummock",1,"S. divinum",2021-10-15,55,29
2,"Hummock",2,"S. divinum",2021-10-15,72,63
2,"Hummock",3,"S. divinum",2021-10-15,111,24
2,"Hummock",4,"S. divinum",2021-10-15,40,14
2,"Hollow",0,"S. ang/fal",2021-10-15,72,56
2,"Hollow",1,"S. ang/fal",2021-10-15,52,77
2,"Hollow",2,"S. ang/fal",2021-10-15,118,5
2,"Hollow",3,"S. ang/fal",2021-10-15,40,89
2,"Hollow",4,"S. ang/fal",2021-10-15,48,80
2,"Hollow",0,"S. divinum",2021-10-15,105,23
2,"Hollow",1,"S. divinum",2021-10-15,113,18
2,"Hollow",2,"S. divinum",2021-10-15,101,27
2,"Hollow",3,"S. divinum",2021-10-15,95,37
2,"Hollow",4,"S. divinum",2021-10-15,65,67
3,"Hummock",0,"S. ang/fal",2021-10-15,119,13
3,"Hummock",1,"S. ang/fal",2021-10-15,103,31
3,"Hummock",2,"S. ang/fal",2021-10-15,92,38
3,"Hummock",3,"S. ang/fal",2021-10-15,104,31
3,"Hummock",4,"S. ang/fal",2021-10-15,79,49
3,"Hummock",0,"S. divinum",2021-10-15,115,10
3,"Hummock",1,"S. divinum",2021-10-15,82,39
3,"Hummock",2,"S. divinum",2021-10-15,125,10
3,"Hummock",3,"S. divinum",2021-10-15,122,14
3,"Hummock",4,"S. divinum",2021-10-15,88,37
3,"Hollow",0,"S. ang/fal",2021-10-15,92,36
3,"Hollow",1,"S. ang/fal",2021-10-15,92,45
3,"Hollow",2,"S. ang/fal",2021-10-15,60,67
3,"Hollow",3,"S. ang/fal",2021-10-15,115,16
3,"Hollow",4,"S. ang/fal",2021-10-15,66,64
3,"Hollow",0,"S. divinum",2021-10-15,89,41
3,"Hollow",1,"S. divinum",2021-10-15,0,134
3,"Hollow",2,"S. divinum",2021-10-15,110,13
3,"Hollow",3,"S. divinum",2021-10-15,119,11
